%NL8, T=400, betaT=0.990000, w=4000, maxC=100, maxP=100, maxR=2
%time (s)	cost
1.038531e-001	51552
1.158008e-001	51277
2.844078e-001	50751
4.098515e-001	50473
4.427691e-001	49943
6.112167e-001	49668
6.359959e-001	48624
6.387941e-001	48291
2.152155e+000	47260
2.164805e+000	47046
2.197943e+000	45622
9.449382e+000	45142
9.583128e+000	45107
1.300638e+001	44949
1.303896e+001	44919
1.328151e+001	44296
1.333342e+001	44128
1.353645e+001	43636
1.354671e+001	43610
1.354933e+001	43512
3.075008e+001	43421
3.190054e+001	43416
3.199203e+001	43395
3.240276e+001	43214
3.248053e+001	43129
3.354553e+001	42955
3.355119e+001	42695
3.355626e+001	42544
3.389234e+001	42531
3.389389e+001	42034
5.800699e+001	41813
5.876128e+001	41702
6.780657e+001	41477
4.665286e+002	41426
4.666415e+002	41320
4.692523e+002	41252
1.090945e+003	40403
